File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
CH01-06_S1_L001_R1_001_val_1_bismark_bt2_pe.bam	1125933	582396	350360	193173	4	6434	575962	10198309	1413078	446648	24785	2201911	191497	5920390
CH01-22_S3_L001_R1_001_val_1_bismark_bt2_pe.bam	1061555	552080	315227	194244	4	7016	545064	9463822	1079756	483593	20779	2008580	207147	5663967
CH03-33_S7_L001_R1_001_val_1_bismark_bt2_pe.bam	1600756	835881	493475	271390	10	10143	825738	15214681	2051886	672851	35376	3317399	265895	8871274
CH05-01_S8_L001_R1_001_val_1_bismark_bt2_pe.bam	1303984	566133	461971	275868	12	838	565295	8193311	666701	509989	24107	1707553	513454	4771507
CH05-06_S9_L001_R1_001_val_1_bismark_bt2_pe.bam	624508	189323	297596	137577	12	4373	184950	3028903	31666	393301	6220	555857	138056	1903803
CH05-21_S10_L001_R1_001_val_1_bismark_bt2_pe.bam	1489803	761905	466968	260921	9	3379	758526	12551941	1326967	639384	30068	2758433	391555	7405534
CH05-24_S11_L001_R1_001_val_1_bismark_bt2_pe.bam	917446	475847	263934	177660	5	1903	473944	7409429	980999	331840	21903	1648667	234607	4191413
CH07-06_S12_L001_R1_001_val_1_bismark_bt2_pe.bam	1533754	757565	464993	311185	11	6499	751066	12881576	1503324	723157	32774	2743390	350261	7528670
CH07-11_S13_L001_R1_001_val_1_bismark_bt2_pe.bam	966011	290103	460284	215612	12	4237	285866	4469768	52320	568344	11503	832214	197328	2808059
CH09-02_S15_L001_R1_001_val_1_bismark_bt2_pe.bam	2017116	956871	661025	399209	11	7026	949845	14305955	1689108	665874	45239	3001405	563312	8341017
CH09-13_S16_L001_R1_001_val_1_bismark_bt2_pe.bam	599034	312880	164543	121605	6	34970	277910	4875294	323539	292895	12431	942184	124402	3179843
CH09-28_S17_L001_R1_001_val_1_bismark_bt2_pe.bam	1956104	995322	607276	353497	9	11991	983331	16496091	1885074	801245	58464	3549973	478726	9722609
CH10-01_S18_L001_R1_001_val_1_bismark_bt2_pe.bam	2120844	1097426	615282	408118	18	9408	1088018	17894941	2133369	782042	51839	3877239	470220	10580232
CH10-08_S19_L001_R1_001_val_1_bismark_bt2_pe.bam	1495095	590337	586804	317933	21	743	589594	8600769	432780	769225	23535	1756827	621392	4997010
