File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
CH01-06_S1_L001_R1_001_val_1_bismark_bt2_pe.bam	1125933	582157	350464	193312	0	6439	575718	10195540	1412648	446298	24816	2200681	192820	5918277
CH01-14_S2_L001_R1_001_val_1_bismark_bt2_pe.bam	884198	433964	273901	176330	3	5100	428864	6610887	761025	317467	18622	1362248	210034	3941491
CH01-22_S3_L001_R1_001_val_1_bismark_bt2_pe.bam	1061555	551797	315368	194387	3	7003	544794	9457062	1079258	483331	20772	2007516	206285	5659900
CH01-38_S4_L001_R1_001_val_1_bismark_bt2_pe.bam	1678659	797653	589521	291479	6	3691	793962	12332683	1396947	568985	36024	2616158	409483	7305086
CH03-04_S5_L001_R1_001_val_1_bismark_bt2_pe.bam	1647164	535063	685900	426184	17	641	534422	7285306	134151	950949	20459	1376332	726111	4077304
CH03-15_S6_L001_R1_001_val_1_bismark_bt2_pe.bam	679642	211999	319854	147784	5	1253	210746	3208318	108301	384365	7772	619286	184540	1904054
CH03-33_S7_L001_R1_001_val_1_bismark_bt2_pe.bam	1600756	835766	493493	271490	7	10146	825620	15213033	2051379	672811	35366	3316889	266085	8870503
CH05-01_S8_L001_R1_001_val_1_bismark_bt2_pe.bam	1303984	566028	462037	275912	7	841	565187	8195741	666774	510360	24116	1707696	513805	4772990
CH05-06_S9_L001_R1_001_val_1_bismark_bt2_pe.bam	624508	189371	297564	137566	7	4360	185011	3029093	31736	393444	6218	556007	137453	1904235
CH05-21_S10_L001_R1_001_val_1_bismark_bt2_pe.bam	1489803	762159	466856	260781	7	3368	758791	12557319	1327110	639993	30074	2758808	394018	7407316
CH05-24_S11_L001_R1_001_val_1_bismark_bt2_pe.bam	917446	475812	264011	177622	1	1910	473902	7412967	980995	331418	21868	1648418	238515	4191753
CH07-06_S12_L001_R1_001_val_1_bismark_bt2_pe.bam	1533754	757771	465100	310872	11	6508	751263	12884887	1503297	723046	32896	2743504	351157	7530987
CH07-11_S13_L001_R1_001_val_1_bismark_bt2_pe.bam	966011	290144	460316	215543	8	4256	285888	4470495	52258	568601	11598	832765	198026	2807247
CH07-24_S14_L001_R1_001_val_1_bismark_bt2_pe.bam	919688	311483	349808	258389	8	7156	304327	4524096	45689	569479	10904	809694	211552	2876778
CH09-02_S15_L001_R1_001_val_1_bismark_bt2_pe.bam	2017116	956916	661017	399179	4	7059	949857	14305874	1689060	666280	45353	3001309	562587	8341285
CH09-13_S16_L001_R1_001_val_1_bismark_bt2_pe.bam	599034	312894	164513	121623	4	34983	277911	4876568	323426	292923	12465	942107	123155	3182492
CH09-28_S17_L001_R1_001_val_1_bismark_bt2_pe.bam	1956104	995188	607252	353657	7	11992	983196	16494365	1884700	801234	58421	3550038	478039	9721933
CH10-01_S18_L001_R1_001_val_1_bismark_bt2_pe.bam	2120844	1097288	615303	408242	11	9405	1087883	17891783	2133105	782270	51753	3877127	467938	10579590
CH10-08_S19_L001_R1_001_val_1_bismark_bt2_pe.bam	1495095	590619	586731	317730	15	733	589886	8609719	432757	769673	23635	1756686	626992	4999976
CH10-11_S20_L001_R1_001_val_1_bismark_bt2_pe.bam	2759157	1361912	869628	527607	10	10416	1351496	20614105	2276603	937465	56826	4373070	635983	12334158
