Module	Section	Sample Name	Source
FastQC	all_sections	CH05-01_S8_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH05-01_S8_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH10-01_S18_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH10-01_S18_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH03-33_S7_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH03-33_S7_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH09-28_S17_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH09-28_S17_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH10-08_S19_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH10-08_S19_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH01-14_S2_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH01-14_S2_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH03-15_S6_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH03-15_S6_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH03-33_S7_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH03-33_S7_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH01-14_S2_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH01-14_S2_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH01-06_S1_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH01-06_S1_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH03-15_S6_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH03-15_S6_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH03-04_S5_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH03-04_S5_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH09-13_S16_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH09-13_S16_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH07-11_S13_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH07-11_S13_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH01-38_S4_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH01-38_S4_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH03-04_S5_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH03-04_S5_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH05-06_S9_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH05-06_S9_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH07-11_S13_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH07-11_S13_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH01-22_S3_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH01-22_S3_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH07-24_S14_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH07-24_S14_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH10-01_S18_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH10-01_S18_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH07-06_S12_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH07-06_S12_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH10-11_S20_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH10-11_S20_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH05-06_S9_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH05-06_S9_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	CH05-24_S11_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH05-24_S11_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH01-06_S1_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH01-06_S1_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH09-02_S15_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH09-02_S15_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH01-22_S3_L001_R2_001_val_2	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH01-22_S3_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	CH10-08_S19_L001_R1_001_val_1	/gscratch/srlab/lhs3/outputs/20201216/FastQC/CH10-08_S19_L001_R1_001_val_1_fastqc.zip
